,YEAR,MONTH,WEEK,quantity,unit_price,fem,pol1,total_cost,DCM,gross_sales,avg_inventory_whp,avg_inventory_sales,product_cost_mxn,DCM_margin,qty_last_week,qty_avg_prev_4w,price_avg_last_week,cost_avg_last_week,price_avg_prev_4w,cost_avg_prev_4w,event_effect
4,2023,1,5,8435.0,10742.820781455614,0.1210084745762711,0.0600949152542373,7455.689424882747,3287.131356572867,319398.9380956107,19.953217054467352,33.860169491525426,5286.960041731271,0.3139416390719174,8756.0,9015.75,10917.268311776505,7515.661302068271,10940.56616007191,7486.461765500288,-5
5,2023,2,6,6632.0,10995.724224280268,0.1255265486725663,0.0651982300884955,7501.296480493898,3494.4277437863684,268471.10588119813,18.232882012369156,35.45575221238938,5191.468537776903,0.3247643216862034,8435.0,8520.25,10742.820781455614,7455.689424882747,10874.512061965652,7468.156751494302,-5
6,2023,2,7,7338.0,10679.579531441535,0.1245879629629629,0.0663611111111111,7421.54742067925,3258.032110762284,310783.959726226,17.116020775193903,37.76851851851852,5161.1937437433335,0.3131343000482256,6632.0,8009.5,10995.724224280268,7501.296480493898,10874.462442305725,7461.065440655709,0
7,2023,2,8,7201.0,10868.31611866942,0.1214816513761467,0.0647788990825688,7498.318129733677,3369.9979889357437,308851.23389845894,27.52972852722454,36.77522935779817,5225.7483490872255,0.3180939044684994,7338.0,7790.25,10679.579531441535,7421.54742067925,10833.84821223848,7473.548657031041,0
8,2023,2,9,8794.0,10835.323377234774,0.1216724890829694,0.0650240174672489,7465.494122100935,3369.8292551338395,352350.18985518906,33.66192946668955,35.54148471615721,5197.750076244564,0.3210039302310319,7201.0,7401.5,10868.31611866942,7498.318129733677,10821.610163961708,7469.212863947393,0
9,2023,3,10,7576.0,10905.591606871552,0.1207610619469026,0.063312831858407,7511.546485351544,3394.045121520008,301887.359926266,22.4613786785428,37.584070796460175,5234.697676848253,0.3153774175977638,8794.0,7491.25,10835.323377234774,7465.494122100935,10844.7358129065,7471.66403825194,0
10,2023,3,11,6033.0,11081.300218629933,0.1186071428571428,0.06495625,7689.259401319592,3392.04081731034,247541.41720137824,25.78365805752008,36.08928571428572,5357.245835467032,0.3125747781025442,7576.0,7727.25,10905.591606871552,7511.546485351544,10822.20265855432,7474.226539466352,0
11,2023,3,12,6287.0,10736.250119573177,0.1206713615023474,0.0660577464788732,7470.431408814947,3265.818710758228,268605.4578811791,21.82028886054041,38.816901408450704,5198.820211711691,0.3077830013123567,6033.0,7401.0,11081.300218629933,7689.259401319592,10922.63283035142,7541.154534626437,0
12,2023,3,13,6036.0,10791.614522336322,0.1176609442060085,0.0652738197424892,7521.346561359447,3270.2679609768743,230693.62289712412,108.48301666538887,36.622317596566525,5269.037139545987,0.3045733438213941,6287.0,7172.5,10736.250119573177,7470.431408814947,10889.616330577359,7534.182854396755,0
13,2023,4,14,6360.0,10844.301606057852,0.127757281553398,0.0688936893203883,7551.700168983638,3292.601437074212,278042.8477380433,33.4901699770353,42.19417475728155,5115.2976583167965,0.3116493292909265,6036.0,6483.0,10791.614522336322,7521.346561359447,10878.689116852745,7548.145964211382,0
14,2023,4,15,6869.0,10652.76561838701,0.1180327102803738,0.0615247663551401,7432.006063814258,3220.759554572752,293714.4304425063,31.996259402418417,39.47663551401869,5217.773315076099,0.3123537863204592,6360.0,6179.0,10844.301606057852,7551.700168983638,10863.36661664932,7558.184385119406,0
15,2023,4,16,6563.0,10640.01151059744,0.1198348623853211,0.0625266055045871,7493.357331125389,3146.6541794720524,267865.4763143279,26.173991610935172,38.99082568807339,5265.619457477477,0.3130288721103686,6869.0,6388.0,10652.76561838701,7432.006063814258,10756.23296658859,7493.871050743072,0
16,2023,4,17,11353.0,10658.991529728,0.1236548672566371,0.0626845132743362,7566.223169782221,3092.768359945779,476005.7876323513,48.54951295003486,37.91150442477876,5335.411394965487,0.3014709977806865,6563.0,6457.0,10640.01151059744,7493.357331125389,10732.173314344656,7499.602531320683,0
17,2023,5,18,9505.0,10693.56143538682,0.1227061611374407,0.0646890995260663,7627.06626368011,3066.4951717067106,392096.0715305228,37.466684876921626,41.41232227488152,5395.103725400545,0.2984610150699104,11353.0,7786.25,10658.991529728,7566.223169782221,10699.017566192575,7510.821683426377,1
18,2023,5,19,11361.0,10514.070122241295,0.1186923076923077,0.0577900452488687,7428.48757853956,3085.5825437017343,454198.2063447853,32.470271820974,38.588235294117645,5259.285603652737,0.3047493937335344,9505.0,8572.5,10693.56143538682,7627.06626368011,10661.332523524818,7529.663207100493,1
