,WEEK,MONTH,YEAR,segment,unit_price,total_cost,quantity,avg_inventory_whp,DCM,DCM_margin,competitor_price,qty_last_week,price_last_week,comp_last_week,qty_avg_prev_4w,ln_qty,ln_price,ln_cost,ln_competitor_price
0,1,1,2023,FRONT LOAD,12164.374176652504,8543.459090881783,557.0,9.015176692145785,3620.9150857707214,0.2911198548447977,25295.03788552963,,,,,6.322565239927284,9.406266809311692,9.052921250544422,10.138363524472677
1,1,1,2023,LAUNDRY CENTER,21050.511291039704,16747.506370421455,77.0,8.466666666666667,4303.004920618247,0.19332020380794443,39408.93986702637,,,,814.75,4.343805421853684,9.954680128176102,9.726004652762793,10.581747969726408
2,1,1,2023,SINGLE TUB,4181.6531382472895,2280.5090469932748,1457.0,9.291666666666666,1901.1440912540145,0.4538783926842759,4841.715583341483,,,,136.0,7.284134806195205,8.338461934953155,7.732153963253412,8.485024396272872
3,1,1,2023,TOP LOAD,10887.99515424503,7176.262865021875,7936.0,38.9999386633889,3711.7322892231555,0.3294501462253803,17460.092095701246,,,,1888.5,8.979164648964709,9.295416099276558,8.878534034202326,9.767673104047566
4,1,1,2023,TWIN TUB,5437.33882955003,3362.2888571699787,374.0,22.24404761904762,2075.0499723800513,0.3673668657717469,8075.528578878249,,,,9045.5,5.924255797414532,8.601045034415126,8.120377228531808,8.996593604633144
5,1,1,2023,WASHER-DRYER,19190.7496429783,14936.142742099928,16.0,0.14285714285714285,4254.606900878368,0.22658579847875557,32683.69563100311,,,,864.0,2.772588722239781,9.862183652489842,9.611539242092062,10.394631627984278
6,1,1,2024,FRONT LOAD,12141.903244843084,7992.791440152923,548.0,0.27362435031458454,4149.111804690162,0.329336096066583,32681.742100168478,557.0,12164.374176652504,25295.03788552963,557.0,6.306275286948016,9.404417827024393,8.9862953444735,10.394571855391819
7,1,1,2024,LAUNDRY CENTER,19276.742865184573,14429.531241819468,76.0,0.5066137566137566,4847.211623365106,0.22172005616293688,36594.55457734314,77.0,21050.511291039704,39408.93986702637,77.0,4.330733340286331,9.866654615365045,9.577032166265873,10.507654726280506
8,1,1,2024,SINGLE TUB,4174.1240353917665,2214.18579972769,1566.0,0.15,1959.9382356640763,0.4663848803121451,4837.05509066992,1457.0,4181.6531382472895,4841.715583341483,1457.0,7.356279876550748,8.336659803389152,7.7026400301303415,8.484061362187505
9,1,1,2024,TOP LOAD,10604.19757067869,6267.122317956304,6119.0,0.3677617480223079,4337.075252722387,0.4072935963783278,19042.976074915736,7936.0,10887.99515424503,17460.092095701246,7936.0,8.71915396346254,9.269005198947786,8.74307256781884,9.854453602586434
10,1,1,2024,TWIN TUB,5438.922027363563,3041.132613155452,463.0,0.34347943722943725,2397.789414208111,0.4312268521202991,7509.6041755876895,374.0,5437.33882955003,8075.528578878249,374.0,6.137727054086234,8.60133616347971,8.01998529513018,8.92393803705593
11,1,1,2024,WASHER-DRYER,17351.09697426456,11408.325191166456,25.0,0.0,5942.771783098103,0.34685234951189664,33183.753174344776,16.0,19190.7496429783,32683.69563100311,16.0,3.2188758248682006,9.76141100955871,9.342098647784834,10.40981567290928
12,1,1,2025,FRONT LOAD,11126.889100645485,4710.40667269,197.0,21.666666666666668,6416.482427955485,0.5766645438735662,30769.033401036308,548.0,12141.903244843084,32681.742100168478,552.5,5.2832037287379885,9.317119899418492,8.4575295256802,10.33426405414169
13,1,1,2025,LAUNDRY CENTER,20238.52367872628,12001.054374259998,3.0,0.0,8237.469304466282,0.4070192784429773,37739.40008876357,76.0,19276.742865184573,36594.55457734314,76.5,1.0986122886681098,9.915343179966701,9.392749789431942,10.538459922896983
14,1,1,2025,SINGLE TUB,4119.634918742913,2005.890717156,1438.0,933.6,2113.7442015869133,0.5130901750468491,4900.061910688612,1566.0,4174.1240353917665,4837.05509066992,1511.5,7.271008538280992,8.323519826461697,7.603843489049866,8.49700311885331
15,1,1,2025,TOP LOAD,9705.992287057672,4634.882562329474,2989.0,349.10526315789474,5071.109724728199,0.5224720538352583,18070.270065244542,6119.0,10604.19757067869,19042.976074915736,7027.5,8.002694162283937,9.180498735307692,8.441366140533221,9.802023328977887
16,1,1,2025,TWIN TUB,5472.292719738206,2613.433587533333,51.0,0.6666666666666666,2858.8591322048724,0.5224243801675945,7640.816206689354,463.0,5438.922027363563,7509.6041755876895,418.5,3.9318256327243257,8.607452951975832,7.868420186517049,8.941259709790595
17,1,12,2024,FRONT LOAD,11808.968796481418,7609.490762585719,848.0,2.1389356238685444,4199.478033895702,0.313881847685825,32681.742100168478,197.0,11126.889100645485,30769.033401036308,434.0,6.742880635791903,9.376614589247161,8.937151531742284,10.394571855391819
